Date,Description,Debit,Credit
2025-01-05,MONTHLY RENT PAYMENT,15000.0,
2025-01-28,SUPERMARKET GROCERIES,1062.7840990569493,
2025-01-31,CORPORATE SALARY CREDIT,,50000.0
2025-01-31,PETROL PUMP,1645.71,
2025-01-31,AMAZON SHOPPING,1800.74,
2025-02-01,AMAZON SHOPPING,784.78,
2025-02-01,BOOKSTORE,1999.28,
2025-02-02,AMAZON SHOPPING,670.11,
2025-02-03,SPOTIFY PREMIUM REF 6812,149.0,
2025-02-03,PETROL PUMP,877.2,
2025-02-03,LAUNDRY SERVICE,548.48,
2025-02-04,MONTHLY RENT PAYMENT,15000.0,
2025-02-04,SUPERMARKET GROCERIES,1188.4343861661555,
2025-02-05,AMAZON PRIME VIDEO,179.0,
2025-02-06,AMAZON SHOPPING,242.18,
2025-02-09,PETROL PUMP,210.48,
2025-02-09,LAUNDRY SERVICE,666.73,
2025-02-09,RESTAURANT DINNER,332.57,
2025-02-10,UBER RIDE,266.37,
2025-02-11,SUPERMARKET GROCERIES,990.39488299704,
2025-02-11,YOUTUBE PREMIUM REF 9369,129.0,
2025-02-12,LAUNDRY SERVICE,511.99,
2025-02-13,PHARMACY,925.32,
2025-02-15,UBER RIDE,1169.94,
2025-02-15,NETFLIX.COM SUBSCRIPTION REF 2127,199.0,
2025-02-15,STARBUCKS COFFEE,1525.66,
2025-02-15,MOVIE TICKETS,650.88,
2025-02-15,AMAZON SHOPPING,1376.93,
2025-02-16,MOVIE TICKETS,1651.2,
2025-02-18,SUPERMARKET GROCERIES,1029.2504956046462,
2025-02-18,BOOKSTORE,1627.24,
2025-02-18,AMAZON SHOPPING,681.94,
2025-02-19,UBER RIDE,1128.48,
2025-02-19,BOOKSTORE,812.42,
2025-02-20,PETROL PUMP,790.81,
2025-02-22,LAUNDRY SERVICE,399.78,
2025-02-22,UBER RIDE,1136.78,
2025-02-22,UBER RIDE,1973.68,
2025-02-23,GYM MEMBERSHIP AUTOPAY,1200.0,
2025-02-25,SUPERMARKET GROCERIES,1065.9855242860333,
2025-02-27,STARBUCKS COFFEE,1837.39,
2025-02-27,AMAZON SHOPPING,1853.03,
2025-02-27,AMAZON SHOPPING,1242.53,
2025-02-28,PETROL PUMP,1688.81,
2025-03-04,RESTAURANT DINNER,171.23,
2025-03-04,PHARMACY,1774.97,
2025-03-04,SUPERMARKET GROCERIES,1458.1732471376167,
2025-03-04,PETROL PUMP,1391.9,
2025-03-05,SPOTIFY PREMIUM,149.0,
2025-03-05,BOOKSTORE,399.32,
2025-03-06,RESTAURANT DINNER,971.09,
2025-03-06,MONTHLY RENT PAYMENT,15000.0,
2025-03-07,LAUNDRY SERVICE,275.13,
2025-03-07,AMAZON PRIME VIDEO,179.0,
2025-03-08,STARBUCKS COFFEE,985.75,
2025-03-09,RESTAURANT DINNER,1231.79,
2025-03-11,SUPERMARKET GROCERIES,1188.3160852867097,
2025-03-13,YOUTUBE PREMIUM,129.0,
2025-03-17,NETFLIX.COM SUBSCRIPTION,199.0,
2025-03-18,SUPERMARKET GROCERIES,1184.232237566172,
2025-03-20,RESTAURANT DINNER,1312.7,
2025-03-21,BOOKSTORE,257.52,
2025-03-22,UBER RIDE,1033.67,
2025-03-23,UBER RIDE,1835.16,
2025-03-24,LAUNDRY SERVICE,839.2,
2025-03-25,GYM MEMBERSHIP AUTOPAY,1200.0,
2025-03-25,SUPERMARKET GROCERIES,1025.8332655731679,
2025-03-26,LAUNDRY SERVICE,236.88,
2025-03-27,MOVIE TICKETS,1150.43,
2025-03-29,BOOKSTORE,829.17,
2025-03-30,CORPORATE SALARY CREDIT,,50000.0
2025-04-01,SUPERMARKET GROCERIES,1127.5848944056381,
2025-04-02,ZOMATO ORDER,811.18,
2025-04-03,BOOKSTORE,1878.66,
2025-04-04,SPOTIFY PREMIUM REF 9238,149.0,
2025-04-05,PHARMACY,1021.6,
2025-04-05,MONTHLY RENT PAYMENT,15000.0,
2025-04-06,AMAZON PRIME VIDEO REF 6890,179.0,
2025-04-08,SUPERMARKET GROCERIES,1100.6472071442315,
2025-04-09,ZOMATO ORDER,733.01,
2025-04-09,BOOKSTORE,1897.66,
2025-04-10,STARBUCKS COFFEE,1719.42,
2025-04-12,MOVIE TICKETS,1986.12,
2025-04-12,LAUNDRY SERVICE,1436.44,
2025-04-12,YOUTUBE PREMIUM,129.0,
2025-04-12,UBER RIDE,1207.42,
2025-04-13,LAUNDRY SERVICE,663.95,
2025-04-15,SUPERMARKET GROCERIES,1256.6312659168182,
2025-04-15,PHARMACY,383.43,
2025-04-16,RESTAURANT DINNER,398.96,
2025-04-16,NETFLIX.COM SUBSCRIPTION,199.0,
2025-04-17,AMAZON SHOPPING,1923.75,
2025-04-18,ZOMATO ORDER,71.69,
2025-04-18,PHARMACY,1792.28,
2025-04-18,RESTAURANT DINNER,357.89,
2025-04-18,STARBUCKS COFFEE,234.31,
2025-04-19,PHARMACY,806.57,
2025-04-20,STARBUCKS COFFEE,1930.13,
2025-04-21,RESTAURANT DINNER,1898.35,
2025-04-22,SUPERMARKET GROCERIES,803.4539034220413,
2025-04-24,GYM MEMBERSHIP AUTOPAY,1200.0,
2025-04-26,PETROL PUMP,1932.13,
2025-04-26,AMAZON SHOPPING,663.3,
2025-04-26,MOVIE TICKETS,1713.39,
2025-04-26,STARBUCKS COFFEE,1353.86,
2025-04-27,RESTAURANT DINNER,1552.78,
2025-04-28,MOVIE TICKETS,1394.85,
2025-04-28,PHARMACY,127.51,
2025-04-29,SUPERMARKET GROCERIES,924.2833890635965,
2025-04-29,CORPORATE SALARY CREDIT,,50000.0
2025-04-29,AMAZON SHOPPING,458.36,
2025-04-30,UBER RIDE,1518.45,
2025-05-01,PHARMACY,847.94,
2025-05-01,PHARMACY,1492.61,
2025-05-01,PHARMACY,1135.7,
2025-05-03,RESTAURANT DINNER,1023.4,
2025-05-04,SPOTIFY PREMIUM REF 2043,149.0,
2025-05-05,MONTHLY RENT PAYMENT,15000.0,
2025-05-06,AMAZON PRIME VIDEO REF 8297,179.0,
2025-05-06,SUPERMARKET GROCERIES,1012.5337021842204,
2025-05-06,RESTAURANT DINNER,1318.57,
2025-05-07,ZOMATO ORDER,1830.7,
